consumer_recipe_id,consumer_recipe,input_good,required_input_qty,supplier_recipe_id,supplier_recipe,supplier_output_qty,buildings_required,within_one_supplier_building
r_059,Wind Turbine Manufacturing,motor,2.0,r_009,Motor Manufacture,28,0.071,True
r_059,Wind Turbine Manufacturing,electrical_components,2.0,r_126,Electrical Components Production,12,0.167,True
r_067,Rubber Vulcanisation,rubber,17.0,r_028,Synthetic Rubber Production,17,1.0,True
r_067,Rubber Vulcanisation,sulphur,12.0,r_179,Sulphur Mining,24,0.5,True
r_068,Car Body Manufacturing,steel,20.0,r_003,Steelmaking,48,0.417,True
r_068,Car Body Manufacturing,aluminium,7.0,r_050,Aluminium (Hall Heroult) Smelting,20,0.35,True
r_068,Car Body Manufacturing,plastics,3.0,r_024,Plastics Manufacturing,12,0.25,True
r_071,ICE Engine Manufacturing,steel,18.0,r_003,Steelmaking,48,0.375,True
r_071,ICE Engine Manufacturing,copper_wiring,15.0,r_008,Copper Wire Drawing,32,0.469,True
r_071,ICE Engine Manufacturing,aluminium,9.0,r_050,Aluminium (Hall Heroult) Smelting,20,0.45,True
r_071,ICE Engine Manufacturing,processed_oil,6.0,r_180,Oil Refining,18,0.333,True
r_071,ICE Engine Manufacturing,alkaline_battery,6.0,r_101,Alkaline Battery Manufacturing,24,0.25,True
r_073,Large Vehicle Engine Manufacturing,steel,32.0,r_003,Steelmaking,48,0.667,True
r_073,Large Vehicle Engine Manufacturing,aluminium,16.0,r_050,Aluminium (Hall Heroult) Smelting,20,0.8,True
r_073,Large Vehicle Engine Manufacturing,processed_oil,12.0,r_180,Oil Refining,18,0.667,True
r_073,Large Vehicle Engine Manufacturing,electrical_components,6.0,r_126,Electrical Components Production,12,0.5,True
r_073,Large Vehicle Engine Manufacturing,alkaline_battery,8.0,r_101,Alkaline Battery Manufacturing,24,0.333,True
r_101,Alkaline Battery Manufacturing,alloy_ingots,20.0,r_132,Alloy Metal Smelting,30,0.667,True
r_102,Sodium Ion Battery Manufacturing,aluminium,18.0,r_050,Aluminium (Hall Heroult) Smelting,20,0.9,True
r_102,Sodium Ion Battery Manufacturing,graphite,9.0,r_150,Petroleum Needle Coke Calcination,10,0.9,True
r_117,ICE Car Production,car_body,6.0,r_068,Car Body Manufacturing,14,0.429,True
r_117,ICE Car Production,engine,6.0,r_071,ICE Engine Manufacturing,6,1.0,True
r_117,ICE Car Production,glass,6.0,r_053,Industrial Glassmaking,32,0.188,True
r_117,ICE Car Production,tyres,25.0,r_067,Rubber Vulcanisation,25,1.0,True
r_117,ICE Car Production,fuels,6.0,r_022,Fuels Refining,22,0.273,True
r_119,EV Assembly,car_body,5.0,r_068,Car Body Manufacturing,14,0.357,True
r_119,EV Assembly,motor,8.0,r_009,Motor Manufacture,28,0.286,True
r_119,EV Assembly,glass,5.0,r_053,Industrial Glassmaking,32,0.156,True
r_119,EV Assembly,tyres,20.0,r_067,Rubber Vulcanisation,25,0.8,True
r_119,EV Assembly,lithium_battery,6.0,r_032,Lithium Ion Battery Manufacturing,10,0.6,True
r_119,EV Assembly,cpu,1.0,r_122,Semiconductor Fabbing,5,0.2,True
r_120,Basic Circuit Soldering,copper_wiring,12.0,r_008,Copper Wire Drawing,32,0.375,True
r_120,Basic Circuit Soldering,plastics,12.0,r_024,Plastics Manufacturing,12,1.0,True
r_120,Basic Circuit Soldering,alloy_ingots,3.0,r_132,Alloy Metal Smelting,30,0.1,True
r_122,Semiconductor Fabbing,metallurgical_silicon,4.0,r_044,Silicon Smelting,20,0.2,True
r_122,Semiconductor Fabbing,circuit_board,12.0,r_120,Basic Circuit Soldering,12,1.0,True
r_122,Semiconductor Fabbing,industrial_acids,1.0,r_114,Hydrochloric Acid Production,45,0.022,True
r_122,Semiconductor Fabbing,refined_ree,5.0,r_041,Rare Earth Reduction,6,0.833,True
r_125,Computer Assembly,circuit_board,3.0,r_120,Basic Circuit Soldering,12,0.25,True
r_125,Computer Assembly,cpu,4.0,r_122,Semiconductor Fabbing,5,0.8,True
r_125,Computer Assembly,aluminium,2.0,r_050,Aluminium (Hall Heroult) Smelting,20,0.1,True
r_125,Computer Assembly,plastics,3.0,r_024,Plastics Manufacturing,12,0.25,True
r_126,Electrical Components Production,copper_wiring,12.0,r_008,Copper Wire Drawing,32,0.375,True
r_126,Electrical Components Production,plastics,5.0,r_024,Plastics Manufacturing,12,0.417,True
r_132,Alloy Metal Smelting,alloy_ore,20.0,r_134,Alloy Metal Mining,24,0.833,True
r_135,Fibreglass Production,glass,3.0,r_053,Industrial Glassmaking,32,0.094,True
r_135,Fibreglass Production,plastics,3.0,r_024,Plastics Manufacturing,12,0.25,True
r_136,Iron Air Batteries,iron_ingots,69.0,r_005,Pig Iron Smelting,70,0.986,True
r_136,Iron Air Batteries,steel,46.0,r_003,Steelmaking,48,0.958,True
r_136,Iron Air Batteries,pure_water,46.0,r_011,Water Pumping,48,0.958,True
r_175,PVC Polymerisation,ethylene,13.0,r_023,Ethylene Refining,13,1.0,True
r_180,Oil Refining,crude_oil,20.0,r_014,Oil Drilling,20,1.0,True
r_204,Heavy Vehicles Assembly,car_body,14.0,r_068,Car Body Manufacturing,14,1.0,True
r_204,Heavy Vehicles Assembly,large_engine,11.0,r_073,Large Vehicle Engine Manufacturing,11,1.0,True
r_204,Heavy Vehicles Assembly,lithium_battery,7.0,r_032,Lithium Ion Battery Manufacturing,10,0.7,True
r_204,Heavy Vehicles Assembly,fuels,22.0,r_022,Fuels Refining,22,1.0,True
r_217,Biomass Carbonisation,biomass,24.0,r_213,Aggressive Logging - Biomass,30,0.8,True
r_218,Petroleum Coking,crude_oil,20.0,r_014,Oil Drilling,20,1.0,True
