research_node_id,category,prereq_1,prereq_2,prereq_3,prereq_othercategory,rank,Action,Object,Quantity,Unit,title,icon,description
research_metal_020,Metallurgy,,,,,III,Produce,copper_wiring,400,units,Electrowinning,copper,"Unlocks new recipe: Copper Electrowinning (33 Copper Wiring, straight from ore)."
research_metal_021,Metallurgy,,,,,II,All Of,Run Producing|aluminium|1|30 turns;Own|power_plant|1|units,1,conditions,ELYSIS Aluminium,eaf,"Unlocks new recipe: ELYSIS Aluminium (15 Aluminium, 3 Alloy Ingots)."
research_metal_022,Metallurgy,,,,,III,All Of,Produce|aluminium|600|units;Run|eaf|1|20 turns,1,conditions,Direct Carbothermic Aluminium,eaf,Unlocks new recipe: Aluminium Direct Carbothermic Electrolysis (24 Aluminium).
research_inorg_001,"Glass, Silica & Concrete",,,,,I,Run Recipe,Glassmaking,3,furnaces,High Strength Glassmaking,glass,Unlocks new recipe: High Strength Glassmaking (28 Glass).
research_inorg_002,"Glass, Silica & Concrete",research_inorg_001,,,,II,Produce,concrete,500,units,Pozzolanic Vitrification,cast,Increases Concrete output by 10% permanently.
research_inorg_003,"Glass, Silica & Concrete",research_inorg_001,,,,II,Produce,glass,750,units,Micro Silica Synthesis,glass,Increases Concrete output by 5% and Glass output by 15% permanently.
research_inorg_004,Chemistry,,,,,I,Build,Chemical Plant,3,units,Chlor Alkali Cells,cell,Increases Chemical Plant output by 5% permanently.
research_inorg_005,Chemistry,research_inorg_004,,,,I,Produce,chlorine,250,units,Acid Gas Scrubbing,scrub,Reduces Chemical Plant maintenance by 10% permanently.
research_inorg_006,Chemistry,research_inorg_005,,,,II,Run Producing,chlorine,1,15 turns,Industrial Salt Purification,salt,Increases the output of chlorine-producing recipes by 5% permanently.
research_inorg_007,Chemistry,research_inorg_004,,,,II,Produce,industrial_acids,300,units,Ceramic Catalyst Supports,ceramic,Reduces Chemical Plant power consumption by 5% permanently.
research_inorg_008,Chemistry,research_inorg_006,,,,III,Run Profitable,chem_plant,7,buildings,Precision Reagent Handling,flask,Reduces Chemical Plant maintenance by 5% permanently.
research_biochem_001,Farming & Forestry,,,,,I,Build,Farm,3,units,Sterile Fermentation,ferment,Increases Farm output by 5% permanently.
research_biochem_002,Chemistry,,,,,I,Sell,Bioplastics,250,units,Enzyme Screening,enzyme,Increases the sale price of plastics by 5% for 20 turns.
research_biochem_003,Chemistry,,,,,II,Run,Bioreactor,12,turns,Bioplastic Precursors,bio,Reduces Farm maintenance by 10% for 20 turns.
research_biochem_004,Recycling,,,,,II,Produce,pure_water,400,units,Wastewater Bioreactors,water,Unlocks new recipe: Water Treatment (28 Pure Water).
research_biochem_005,Chemistry,,,,,III,Run,Cell Culture Automation,15,turns,Cell Culture Automation,culture,Reduces Farm labour by 5% permanently.
research_mfg_001,Manufacturing,,,,,I,Build,Factory,3,units,Interchangeable Tooling,tools,Reduces Assembly Plant labour by 5% permanently.
research_mfg_002,Manufacturing,research_mfg_001,,,,I,Sell,Motors,250,units,Precision Assembly Lines,assembly,Unlocks new recipe: V8 Engine Manufacturing (6 Engine).
research_mfg_003,Manufacturing,research_mfg_002,,,,II,Run,Factory,12,turns,Motor Winding Automation,motor,Unlocks new recipe: Heavy Electric Motor (6 Large Engine).
research_mfg_004,Manufacturing,research_mfg_001,,,,II,Produce,car_body,250,units,Composite Panel Pressing,press,Unlocks new recipe: Lightweight Car Bodies (10 Car Body).
research_mfg_005,Manufacturing,research_mfg_003,,,,III,Run,Modular Factory Cells,15,turns,Modular Factory Cells,cell,Reorganises production into modular factory cells (prerequisite tech).
research_hcpower_001,Power Production,,,,,I,Build,Coal Power Plant,3,units,Pulverized Coal Boilers,boiler,Increases Coal Power Plant output by 5% permanently.
research_hcpower_002,Power Production,research_hcpower_001,,,,I,Sell,Power,3500,units,Steam Turbine Upgrades,turbine,Increases Coal Power Plant output by 25% for 25 turns.
research_hcpower_003,Power Production,research_hcpower_001,,,,II,Run,Coal Power Plant,12,turns,Flue Heat Recovery,heat,Reduces Coal Power Plant power consumption by 10% permanently.
research_hcpower_004,Power Production,research_hcpower_005,,,,III,Run,Grid Synchronous Generation,15,turns,Grid Synchronous Generation,grid,Reduces all power plants maintenance by 8% for 20 turns.
research_renew_001,Power Production,,,,,I,Build,Solar Farm,3,units,Utility Solar Arrays,solar,Increases Solar Farm output by 5% permanently.
research_renew_002,Power Production,research_renew_001,,,,I,Sell,Power,5000,units,Onshore Wind Control,wind,Increases Onshore Wind Farm output by 5% permanently.
research_renew_003,Power Production,research_renew_002,,,,II,Run,Wind Farm,12,turns,Battery Balancing,battery,Increases Battery Electric Storage output by 10% permanently.
research_renew_004,Power Production,research_renew_001,,,,II,Build,hydro_power_plant,2,units,Hydro Intake Design,hydro,Increases Hydroelectric Dam output by 10% permanently.
research_renew_005,Power Production,research_renew_003,,,,III,Run,Renewable Dispatch Forecasting,15,turns,Renewable Dispatch Forecasting,forecast,Increases all renewable power plant output by 25% for 15 turns.
research_infra_001,Infrastructure,,,,,I,Build,Roads,3,units,Reinforced Roadbeds,road,Increases road throughput by 25% permanently.
research_infra_002,Infrastructure,research_infra_001,,,,I,Sell,Concrete,250,units,Pipe Trench Standards,pipe,Reduces Pipeworks maintenance by 10% for 20 turns.
research_infra_003,Infrastructure,research_infra_002,,,,II,Use Infrastructure,pipes,3,80% for 5 turns,High Pressure Mains,main,Increases pipe throughput by 25% permanently.
research_infra_004,Infrastructure,research_infra_001,,,,II,Build,Cables,3,units,Substation Layouts,substation,Increases cable throughput by 25% permanently.
research_infra_005,Infrastructure,research_infra_003,,,,III,Use Infrastructure,Utility Corridor,10,80% for 5 turns,Integrated Utility Corridors,corridor,Reduces all buildings' maintenance by 5% for 20 turns.
research_logi_001,Logistics,,,,,I,Sell Through Ports,ports,500,units,Depot Scheduling,depot,Reduces road and rail transport cost by 10% permanently.
research_logi_011,Logistics,,,,,I,Sell Through Ports,ports,5000,units,Groupage Contracts,depot,Reduces the port ad valorem fee by 10% permanently.
research_logi_002,Logistics,research_logi_011,,,,II,Sell Through Every Port,ports,500,units,Multimodal Containerized Freight,container,Reduces the port ad valorem fee by 10% permanently.
research_logi_003,Logistics,research_logi_001,,,,II,Use Infrastructure,Roads,5,80% throughput,Route Optimization,route,Increases road throughput by 25% permanently.
research_logi_004,Logistics,research_logi_001,,,,II,Use Infrastructure,Roads,3,80% throughput,Cold Chain Handling,cold,Reduces transport cost by 5% for 20 turns.
research_logi_005,Logistics,research_logi_003,,,,III,Build,Roads,5,units,Autonomous Dispatch Rooms,dispatch,Reduces Roads and Railways labour by 10% permanently.
research_markets_001,People & Management,,,,,I,Fulfil Special Orders,special_order,3,orders,Spot Price Reporting,price,Increases special-order premiums by 25% of their current bonus permanently.
research_markets_002,People & Management,research_markets_001,,,,I,Sell,Steel,250,units,Forward Contracts,contract,Increases the sale price of steel by 5% for 20 turns.
research_markets_003,People & Management,research_markets_002,,,,II,Sell,Steel,500,units,Risk Desk Procedures,risk,Reduces market-material shipping costs by 25% permanently.
research_markets_004,People & Management,research_markets_001,,,,II,Own,land,5,units,Maintenance Budgeting,budget,Reduces all buildings maintenance by 10% for 20 turns.
research_markets_005,People & Management,research_markets_003,,,,III,Run Profitable,any,15,10 turns,Integrated Operations Planning,ops,Reduces all building maintenance and labour costs by 5% permanently.
research_people_001,People & Management,,,,,I,Run Profitable,mine,3,15 turns,Shift Supervisors,shift,Reduces Mine labour by 5% permanently.
research_people_002,People & Management,research_people_001,,,,I,Sell,Freight,500,units,Safety Training,safety,Reduces all building maintenance and labour costs by 5% permanently.
research_people_003,People & Management,research_people_002,,,,II,Run,Factory,12,turns,Specialist Apprenticeships,apprentice,Increases Assembly Plant output by 5% permanently.
research_people_004,People & Management,research_people_001,,,,II,Own,land,5,units,Union Liaison Offices,union,Reduces all buildings maintenance by 10% for 20 turns.
research_people_005,People & Management,research_people_003,,,,III,Run,high_tech_manufactory|assembly_plant,10,10 turns,Continuous Improvement Teams,team,Increases all building output by 5% permanently.
research_people_006,People & Management,,,,,I,Build,any,3,units,Operational Team Managers,team,Reduces all buildings labour by 10% permanently.
research_people_007,People & Management,research_people_006,,,,II,Build,any,12,units,Shift Handover Documentation,shift,Reduces all buildings labour by a further 10% permanently.
research_people_008,People & Management,,,,,II,Build,any,15,units,Third Advisor Seat,team,Unlocks a 3rd advisor seat once you own 15 buildings.
research_people_009,People & Management,,,,,III,Build,any,100,units,Fourth Advisor Seat,team,Unlocks a 4th advisor seat once you own 100 buildings.
research_people_010,People & Management,,,,,III,Sustain,1000+ profit/turn,3,turns,Fifth Advisor Seat,team,Unlocks a 5th advisor seat after 3 turns above 1000 profit/turn.
research_people_011,People & Management,research_people_002,,,,II,Run Profitable,any,5,10 turns,Executive Search,search,Opens the remaining advisor posts for hire.
research_mining_006,Extraction,,,,,I,Run Profitable,mine,3,buildings,Regular Shaft Draining,+5%,Reduces Mine maintenance and labour by 5% permanently.
research_mining_007,Extraction,,,,,I,Produce,ree_ore,500,units,Rare Vein Prospecting,rare,Increases rare earth and alloy ore mining output by 15% permanently.
research_mfg_006,Manufacturing,research_mfg_013,,,,II,Run L1,industrial_factory,3,20 turns,Conveyor Mass Assembly,level2,Unlocks upgrading Industrial Goods Factory to Level 2 for more output.
research_renew_006,Power Production,research_renew_003,,,,III,Run,Battery,15,turns,Long Duration Storage,storage,Reduces building maintenance by 15% for 30 turns.
research_mining_008,Extraction,,,,,I,Survey,deposits,2,deposits,Hyperspectral Remote Sensing,survey,+1 adjacent tile revealed when surveying
research_mining_009,Extraction,research_mining_008,,,,II,Survey,tiles,5,tiles,Computer Assisted Geoscanning,svt,+1 Survey range (2 to 3)
research_petro_006,Extraction,,,,,II,Build,oil_well,3,units,Directional & Horizontal Drilling,horizontal,Increases Oil Wells and Hydraulic Fracking Oil Wells output by 10% each permanently.
research_petro_007,Extraction,,,,,II,Own,offshore_oil_land,50,units,Offshore Drilling Platforms,rig,Unlocks new recipe: Offshore Oil Extraction (10 Crude Oil).
research_petro_008,Extraction,research_petro_007,,,,III,Run Profitable,offshore_oil_platform,3,buildings,Deepwater Drilling,deepsea,Increases offshore oil platform output by 10% permanently.
research_petro_009,Extraction,research_petro_007,,,,III,Build,offshore_oil_platform,5,units,Subsea Tieback Systems,manifold,Increases Offshore Oil Platform crude oil output by 10% permanently.
research_petro_010,Extraction,research_petro_006,,,,II,Run Profitable,oil_well,3,buildings,Microseismic Monitoring,survey,Increases Oil Wells and Hydraulic Fracking Oil Wells output by 5% and reduces their maintenance by 10% permanently.
research_petro_011,Extraction,research_petro_010,,,,II,Produce,crude_oil,1000,units,Reservoir Stimulation,stim,Increases Oil Wells output by 20% for 30 turns.
research_petro_012,Extraction,research_petro_007,,,,III,Run Same Tile,offshore_oil_platform,5,buildings,Multiphase Subsea Boosting,pump,Increases Offshore Oil Platform output by 10% permanently.
research_petro_013,Extraction,research_petro_010,,,,III,Produce,crude_oil,2500,units,Enhanced Oil Recovery,eor,Increases all oil extraction output by 20% for 30 turns.
research_petro_014,Extraction,research_petro_007,,,,III,Own On Tiles,offshore_oil_platform,5,tiles,Remote Platform Operations,remote,Reduces oil extraction labour by 30% permanently.
research_metal_005,Metallurgy,research_metal_004,,,,III,Produce All,hydrogen|iron_ingots,200|500,units,Hydrogen Direct Reduction,h2steel,Unlocks new recipe: Direct Reduced Iron Smelting (84 Iron Ingots).
research_mining_010,Extraction,,,,,I,Produce,bauxite_ore,500,units,Composite Drill Bits,drill,"Increases rare earth, alloy, sulphur and bauxite mining output by 15% permanently."
research_mining_020,Extraction,,,,,I,Produce,copper_ore,500,units,Copper Bioleaching,copper,Increases copper ore mining output by 15% permanently.
research_biochem_006,Farming & Forestry,,,,,II,Run,Forest,12,turns,Sustainable Forestry,forest,Unlocks new recipe: Sustainable Forestry - Biomass (24 Biomass).
research_mfg_007,Manufacturing,research_mfg_002,,,,II,Sell,Copper Pipe,250,units,Precision Tube Drawing,tube,Unlocks new recipe: Copper Pipe Manufacturing (24 Copper Pipe).
research_mfg_040,Manufacturing,,,,,I,Produce,copper_ingots,250,units,Copper Pipe Moulding,pipe,Unlocks new recipe: Copper Pipe Moulding (27 Copper Pipe).
research_mining_011,Extraction,research_mining_013,,,,II,Run Profitable,mine,5,buildings,In-Pit Crushing,level2,Unlocks upgrading Mine to Level 2 for more output.
research_mining_012,Extraction,research_mining_011,,,,III,Run Profitable L2,mine,3,buildings,Autonomous Haul Systems,level3,Unlocks upgrading Mine to Level 3 for more output.
research_metal_006,Metallurgy,,,,,I,Run Profitable,Furnace,5,buildings,Hot Blast Stoves,level2,Unlocks upgrading Furnace to Level 2 for more output.
research_metal_007,Metallurgy,research_metal_006,,,,III,Run Profitable L2,furnace,3,buildings,Top-Pressure Recovery Turbines,level3,Unlocks upgrading Furnace to Level 3 for more output.
research_metal_008,Metallurgy,research_metal_014,,,,II,Run Profitable,eaf,3,buildings,Ultra-High-Power Arcs,level2,Increases Electric Arc Furnace output by 10% permanently.
research_metal_009,Metallurgy,research_metal_015,,,,III,Run Profitable L2,eaf,3,buildings,Consteel Continuous Charging,level3,Unlocks upgrading Electric Arc Furnace to Level 3 for more output.
research_mfg_008,Manufacturing,research_mfg_006,,,,III,Run Profitable L2,industrial_factory,3,buildings,Robotic Assembly Islands,level3,Unlocks upgrading Industrial Goods Factory to Level 3 for more output.
research_mfg_009,Manufacturing,research_mfg_002,,,,II,Run L1,assembly_plant,3,20 turns,Moving Assembly Lines,level2,Unlocks upgrading Assembly Plant to Level 2 for more output.
research_mfg_010,Manufacturing,research_mfg_009,,,,III,Run Profitable L2,assembly_plant,3,buildings,Mixed-Model Synchronous Lines,level3,Unlocks upgrading Assembly Plant to Level 3 for more output.
research_mfg_011,Manufacturing,research_mfg_024,,,,II,Run L1,high_tech_manufactory,3,20 turns,300mm Wafer Lines,level2,Unlocks upgrading High Tech Manufactory to Level 2 for more output. Unlocks new recipe: Circuit Printing.
research_mfg_012,Manufacturing,research_mfg_011,,,,III,Run Profitable L2,high_tech_manufactory,3,buildings,EUV Lithography,level3,Unlocks upgrading High Tech Manufactory to Level 3 for more output.
research_inorg_009,Chemistry,research_inorg_014,,,,II,Run Profitable L1,chem_plant,5,10 turns,Larger Reactor Trains,level2,Unlocks upgrading Chemical Plant to Level 2 for more output.
research_inorg_010,Chemistry,research_inorg_009,,,,III,Run Profitable L2,chem_plant,3,buildings,Integrated Chemical Complexes,level3,Unlocks upgrading Chemical Plant to Level 3 for more output.
research_inorg_011,Chemistry,research_inorg_004,,,,II,Run L1,electrolyser,3,20 turns,Membrane Electrolysers,level2,Unlocks upgrading Electrolyser to Level 2 for more output.
research_inorg_012,Chemistry,research_inorg_011,,,,III,Run Profitable L2,electrolyser,3,buildings,Solid-Oxide Electrolysis,level3,Unlocks upgrading Electrolyser to Level 3 for more output.
research_petro_015,Chemistry,research_petro_002,,,,II,Run L1,petro_refinery,3,20 turns,Hydrocracking Units,level2,Unlocks upgrading Petrochemical Refinery to Level 2 for more output.
research_petro_016,Chemistry,research_petro_015,,,,III,Run Profitable L2,petro_refinery,3,buildings,Deep Conversion Units,level3,Unlocks upgrading Petrochemical Refinery to Level 3 for more output.
research_mining_013,Extraction,,,,,I,Run,Mine,3,10 turns,Bench Blasting Expansion,blast,Increases Mine output by 20% for 20 turns.
research_mining_014,Extraction,,,,,I,Build,mine,7,units,Bulk Haulage Fleets,truck,Increases Mine output by 5% permanently.
research_mining_015,Extraction,,,,,I,Build,mine,12,units,Continuous Surface Miners,miner,Increases the output of Mines on inexhaustible deposits by 20% permanently.
research_mining_016,Extraction,,,,,I,Build,mine,15,units,Block Caving,cave,"Mines on inexhaustible deposits: +5% output, +10% maintenance permanently."
research_metal_010,Metallurgy,research_metal_003,,,,III,All Of,Run Producing|steel|1|15 turns;Produce|carbonised_biomass|200|units,1,conditions,Pulverised Carbon Injection,pci,Unlocks new recipes: Steelmaking (Petro) — petroleum needle coke for coal; Steelmaking (Bio) — carbonised biomass for coal.
research_metal_011,Metallurgy,,,,,I,Produce,oxygen,100,units,Oxygen-Enriched Blast,furnace,Unlocks new recipe: Basic Oxygen Steelmaking (24 Steel).
research_metal_012,Metallurgy,,,,,I,Produce,chlorine,300,units,Bauxite Carbochlorination,furnace,Unlocks new recipe: Bauxite Carbochlorination (20 Aluminium).
research_metal_013,Metallurgy,research_metal_004,,,,III,Produce Per Turn,steel,300,units per turn,Scrap Preheating Towers,preheat,Reduces Electric Arc Furnace power consumption by 20% permanently.
research_metal_014,Metallurgy,,,,,I,Run,eaf,3,15 turns,Foamy Slag Practice,slag,Increases Electric Arc Furnace output by 5% permanently.
research_metal_015,Metallurgy,research_metal_014,,,,II,Run L1,eaf,3,20 turns,Twin-Shell Furnaces,level2,Unlocks upgrading Electric Arc Furnace to Level 2 for more output.
research_metal_016,Metallurgy,,,,,I,Build,eaf,7,units,DC Arc Conversion,eaf,Reduces Electric Arc Furnace power consumption by 10% permanently.
research_mfg_013,Manufacturing,,,,,I,Build,industrial_factory,3,units,High-Volume Press Lines,press,Increases Industrial Goods Factory output by 5% permanently.
research_mfg_014,Manufacturing,,,,,I,Build,industrial_factory,7,units,Multi-Shift Production,shift,Increases Industrial Goods Factory output by 5% permanently.
research_mfg_015,Manufacturing,research_mfg_005,,,,III,Run,Factory,15,turns,Lights-Out Automation,labour,Reduces High Tech Manufactory and Assembly Plant labour by 20% permanently.
research_mfg_016,Manufacturing,research_mfg_002,,,,III,Build,high_tech_manufactory,3,units,Flexible Manufacturing Cells,fmc,"Reduces Industrial Goods Factory, Assembly Plant and High Tech Manufactory labour by 10% permanently."
research_mfg_017,Manufacturing,,,,,I,Build,assembly_plant,3,units,Asset Integrity Management Cycle,jit,"Reduces Industrial Goods Factory, Assembly Plant and High Tech Manufactory maintenance by 15% permanently."
research_mfg_018,Manufacturing,research_mfg_001,,,,II,Build,assembly_plant,3,units,Modular Sub-Assembly,module,Increases Assembly Plant output by 5% permanently.
research_mfg_019,Manufacturing,,,,,I,Build,assembly_plant,7,units,Robotic Final Assembly,robot,Reduces Assembly Plant labour by 10% for 20 turns.
research_mfg_020,Manufacturing,,,,,I,Build,industrial_factory,12,units,Automated Guided Assembly,agv,Reduces Industrial Goods Factory labour by 5% permanently.
research_mfg_021,Manufacturing,,,,,I,Build,high_tech_manufactory,3,units,Class-100 Cleanrooms,fab,Unlocks new recipe: Semiconductor Fabbing (5 CPU).
research_mfg_022,Manufacturing,research_mfg_001,,,,II,Build,high_tech_manufactory,3,units,Advanced Photolithography,litho,Unlocks new recipe: Fabless Semiconductors (3 CPU).
research_mfg_023,Manufacturing,research_mfg_005,,,,III,Run Profitable,high_tech_manufactory,3,buildings,Atomic Layer Deposition,ald,Increases High Tech Manufactory output by 5% permanently. Unlocks new recipe: Durable Perovskite Solar Panels.
research_mfg_024,Manufacturing,,,,,I,Run,high_tech_manufactory,3,20 turns,Fully-Automated Fabs,fab,Increases High Tech Manufactory output by 10% permanently.
research_inorg_013,Chemistry,research_inorg_008,,,,III,Run Distinct Recipes,chem_plant,5,recipes,Continuous-Flow Reactors,cfr,Increases Chemical Plant output by 5% permanently.
research_inorg_014,Chemistry,,,,,I,Run Distinct Recipes,chem_plant,3,recipes,Process Intensification,flask,Unlocks new recipe: Nitrogen Air Separation (30 Nitrogen).
research_inorg_015,Chemistry,,,,,I,Own All,chem_plant|power_plant,1|1,units,Deep Catalytic Optimisation,catalyst,Reduces Chemical Plant power consumption by 10% permanently.
research_inorg_016,Chemistry,,,,,I,Build,electrolyser,3,units,High-Current Cell Stacks,stack,Reduces Electrolyser labour by 5% permanently.
research_inorg_017,Chemistry,,,,,I,Build,electrolyser,7,units,Bipolar Cell Arrays,cell,Reduces Electrolyser power consumption by 20% for 20 turns.
research_petro_017,Chemistry,,,,,I,Build,poly_plant,3,units,Heat-Integrated Trains,heat,Reduces Polymerisation Refinery power consumption by 10% permanently.
research_petro_018,Chemistry,research_petro_002,,,,III,All Of,Run|petro_refinery|5|10 turns;Produce|alloy_ingots|100|units,1,conditions,Continuous Catalyst Regeneration,ccr,Increases Petrochemical Refinery output by 5% permanently.
research_hcpower_005,Power Production,research_hcpower_002,,,,II,Run L1,power_plant,2,15 turns,Combined Cycle Turbines,turbine,Unlocks new recipes: Gas Combined Cycle Turbines and Petroleum Needle Coke Power.
research_hcpower_006,Power Production,research_hcpower_002,,,,II,Run L1,power_plant,3,20 turns,Supercritical Boilers,level2,Unlocks upgrading Coal Power Plant to Level 2 for more output.
research_hcpower_007,Power Production,research_hcpower_006,,,,III,Run Profitable L2,power_plant,5,buildings,Ultra-Supercritical Units,level3,Unlocks upgrading Coal Power Plant to Level 3 for more output.
research_renew_007,Power Production,research_renew_002,,,,II,Run L1,onshore_wind_farm,5,20 turns,Larger Rotor Diameters,level2,Unlocks upgrading Onshore Wind Farm to Level 2 for more output.
research_renew_008,Power Production,research_renew_007,,,,III,Run Profitable L2,onshore_wind_farm,5,buildings,Direct-Drive Megaturbines,level3,Unlocks upgrading Onshore Wind Farm to Level 3 for more output.
research_renew_009,Power Production,research_renew_001,,,,II,Run L1,solar_farm,5,20 turns,Single-Axis Trackers,level2,Unlocks upgrading Solar Farm to Level 2 for more output.
research_renew_010,Power Production,research_renew_009,,,,III,Run Profitable L2,solar_farm,5,buildings,Self-Adjusting Panel Network,level3,Unlocks upgrading Solar Farm to Level 3 for more output.
research_renew_011,Power Production,research_renew_021,,,,II,Run L1,battery,3,20 turns,Liquid-Cooled Packs,level2,Unlocks upgrading Battery Electric Storage to Level 2 for more output.
research_renew_012,Power Production,research_renew_011,,,,III,Firm Intermittency,power,4000,power,Flow Battery Arrays,level3,Unlocks upgrading Battery Electric Storage to Level 3 for more output.
research_inorg_018,Chemistry,research_inorg_004,,,,II,Run L1,desal,3,20 turns,Reverse Osmosis Trains,level2,Unlocks upgrading Desalination Plant to Level 2 for more output.
research_inorg_019,Chemistry,research_inorg_018,,,,III,Run Profitable L2,desal,2,buildings,Seawater RO Megaplants,level3,Unlocks upgrading Desalination Plant to Level 3 for more output.
research_inorg_020,Chemistry,research_inorg_004,,,,III,Run Profitable L2,water_pump,2,buildings,Extensive Drainage Systems,level3,Unlocks upgrading Water Pump to Level 3 for more output.
research_recyc_001,Recycling,,,,,II,Run L1,water_recycling,3,20 turns,Membrane Bioreactors,level2,Unlocks upgrading Water Recyling Plant to Level 2 for more output.
research_recyc_002,Recycling,research_recyc_001,,,,III,Run Profitable L2,water_recycling,2,buildings,Closed-Loop Reclaim,level3,Unlocks upgrading Water Recyling Plant to Level 3 for more output.
research_biochem_007,Farming & Forestry,,,,,III,Run Profitable L2,farm,3,buildings,Controlled-Environment Farming,level3,Unlocks upgrading Farm to Level 3 for more output.
research_infra_006,Infrastructure,research_infra_001,,,,II,Use Infrastructure,roads,3,80% for 5 turns,Multi-Lane Widening,level2,Unlocks upgrading Roads to Level 2 for more output.
research_infra_007,Infrastructure,research_infra_006,,,,III,Use Infrastructure,roads,5,80% for 5 turns,Grade-Separated Interchanges,level3,Unlocks upgrading Roads to Level 3 for more output.
research_infra_008,Infrastructure,research_infra_001,,,,II,Use Infrastructure,rails,3,80% for 5 turns,Longer Freight Consists,level2,Unlocks upgrading Railways to Level 2 for more output.
research_infra_009,Infrastructure,research_infra_008,,,,III,Use Infrastructure,rails,5,80% for 5 turns,Standardised Wagon Gantry Cranes,level3,Unlocks upgrading Railways to Level 3 for more output.
research_infra_010,Infrastructure,research_infra_002,,,,II,Use Infrastructure,pipes,3,80% for 5 turns,Automated Pressure Management System,level2,Unlocks upgrading Pipeworks to Level 2 for more output.
research_infra_011,Infrastructure,research_infra_010,,,,III,Use Infrastructure,pipes,5,80% for 5 turns,Looped Distribution Grids,level3,Unlocks upgrading Pipeworks to Level 3 for more output.
research_infra_012,Infrastructure,research_infra_026,,,,II,Use Infrastructure,reinf_pipes,3,80% for 5 turns,High-Pressure Manifolds,level2,Unlocks upgrading Reinforced Pipeworks to Level 2 for more output.
research_infra_013,Infrastructure,research_infra_012,,,,III,Use Infrastructure,reinf_pipes,5,80% for 5 turns,Cryogenic Transfer Lines,level3,Unlocks upgrading Reinforced Pipeworks to Level 3 for more output.
research_infra_014,Infrastructure,,,,,II,Use Infrastructure,cables,3,80% for 5 turns,Reconductoring,level2,Unlocks upgrading Cables to Level 2 for more output.
research_infra_015,Infrastructure,research_infra_014,,,,III,Use Infrastructure,cables,5,80% for 5 turns,Smart Grid Control,level3,Unlocks upgrading Cables to Level 3 for more output.
research_renew_013,Power Production,research_renew_008,,,,III,Run,Wind Farm,12,turns,Floating Offshore Wind Farms,floatwind,Unlocks new recipe: Floating Offshore Wind Power (90 Power).
research_renew_014,Power Production,research_renew_003,,,,II,Run,Battery,12,turns,Fast Response Storage,fastbat,Batteries on the same tile increase wind and solar power output by 5%.
research_infra_016,Infrastructure,research_infra_004,,,,II,Build,Cables,5,units,High Voltage Cabling,hvdc1,Unlocks HVDC long-distance power transmission.
research_infra_017,Infrastructure,research_infra_016,,,,III,Use Infrastructure,cables,10,80% for 5 turns,Undersea Current Doublers,hvdc2,Unlocks higher-capacity undersea HVDC power links.
research_infra_018,Infrastructure,research_infra_017,,,,III,Own,Cables,6,units,SF6-free Switchgear,hvdc3,Unlocks high-capacity HVDC switchgear for power links.
